,Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,What is your current occupation,What matters most to you in choosing a course,Search,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Tags,A free copy of Mastering The Interview,Last Notable Activity
8762,Api,Olark chat,No,No,0,0.0,0,0.0,Olark chat conversation,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
8763,Landing page submission,Nc_edm,No,No,1,7.0,931,1.75,Email opened,India,Human resource management,No Details,No Details,No,No,No,No,No,No,No Details,No,Email opened
8764,Landing page submission,Google,No,No,0,4.0,1029,4.0,Sms sent,India,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Sms sent
8765,Api,Google,No,No,0,2.0,462,2.0,Email opened,India,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Email opened
8766,Landing page submission,Direct traffic,No,No,0,11.0,594,3.67,Email opened,India,Healthcare management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,Yes,Email opened
8767,Api,Olark chat,No,No,0,0.0,0,0.0,Sms sent,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Sms sent
8768,Landing page submission,Google,No,No,0,4.0,27,2.0,Email opened,India,Business administration,Unemployed,Better career prospects,No,No,No,No,No,No,Opp hangup,No,Email opened
8769,Landing page submission,Direct traffic,Yes,No,0,2.0,488,2.0,Sms sent,India,Business administration,Unemployed,Better career prospects,No,No,No,No,No,No,Opp hangup,Yes,Sms sent
8770,Api,Google,No,No,0,2.0,126,1.0,Olark chat conversation,India,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
8771,Api,Olark chat,No,No,0,0.0,0,0.0,Email opened,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Email opened
8772,Landing page submission,Direct traffic,Yes,No,0,1.0,159,1.0,Email bounced,India,It projects management,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
8773,Api,Organic search,No,No,0,5.0,47,5.0,Email opened,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Graduation in progress,No,Modified
8774,Api,Olark chat,No,No,0,3.0,16,1.0,Sms sent,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
8775,Landing page submission,Organic search,No,No,0,3.0,1168,3.0,Email opened,India,Human resource management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,Yes,Modified
8776,Lead add form,Reference,No,No,1,0.0,0,0.0,Email opened,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Closed by horizzon,No,Modified
8777,Api,Olark chat,No,No,0,0.0,0,0.0,Olark chat conversation,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Interested  in full time mba,No,Modified
8778,Api,Olark chat,No,No,1,0.0,0,0.0,Email opened,No Details,No Details,Student,Better career prospects,No,No,No,No,No,No,Lost to eins,No,Email opened
8779,Landing page submission,Direct traffic,No,No,0,2.0,15,2.0,Email opened,India,Operations management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,Yes,Modified
8780,Landing page submission,Direct traffic,No,No,0,2.0,90,2.0,Olark chat conversation,Outside India,International business,Unemployed,Better career prospects,No,No,No,No,No,No,Already a student,No,Modified
8781,Landing page submission,Direct traffic,No,No,0,2.0,1566,2.0,Email opened,India,Operations management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,Yes,Email opened
8782,Api,Direct traffic,No,No,0,5.0,559,5.0,Olark chat conversation,India,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Interested in other courses,No,Modified
8783,Landing page submission,Direct traffic,No,No,0,5.0,869,5.0,Sms sent,India,Supply chain management,No Details,No Details,No,No,No,No,No,No,No Details,No,Sms sent
8784,Api,Olark chat,No,No,0,0.0,0,0.0,Email opened,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Email opened
8785,Landing page submission,Direct traffic,No,No,1,3.0,1325,1.5,Email opened,India,Business administration,Unemployed,Better career prospects,No,No,No,No,No,No,No Details,No,Email opened
8786,Lead add form,Welingak website,No,No,1,0.0,0,0.0,Email link clicked,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,No Details,No,Modified
8787,Api,Google,No,No,1,2.0,2170,1.0,Sms sent,India,Marketing management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
8788,Landing page submission,Google,No,No,0,6.0,1377,6.0,Sms sent,India,Operations management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,Yes,Sms sent
8789,Api,Olark chat,No,No,0,0.0,0,0.0,Olark chat conversation,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Olark chat conversation
8790,Landing page submission,Google,No,No,1,4.0,1146,2.0,Email opened,Outside India,It projects management,Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Email opened
8791,Landing page submission,Google,No,No,1,5.0,5,2.5,Email opened,India,Business administration,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Email opened
8792,Landing page submission,Google,No,No,0,7.0,130,1.4,Email opened,India,Supply chain management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,Yes,Email opened
8793,Landing page submission,Google,Yes,No,0,2.0,43,2.0,Email bounced,India,Services excellence,No Details,No Details,No,No,No,No,No,No,No Details,Yes,Modified
8794,Landing page submission,Direct traffic,No,No,0,2.0,245,2.0,Sms sent,India,International business,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,Yes,Sms sent
8795,Landing page submission,Organic search,No,No,0,4.0,271,4.0,Email opened,India,Travel and tourism,Unemployed,Better career prospects,No,No,No,No,No,No,Invalid number,Yes,Email opened
8796,Landing page submission,Direct traffic,Yes,No,0,3.0,471,3.0,Email bounced,India,It projects management,Unemployed,Better career prospects,No,No,No,No,No,No,Already a student,No,Modified
8797,Api,Olark chat,No,No,0,0.0,0,0.0,Email opened,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Email opened
8798,Landing page submission,Direct traffic,No,No,1,3.0,230,3.0,Email opened,India,Human resource management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Modified
8799,Landing page submission,Google,No,No,0,4.0,18,4.0,Sms sent,India,"Banking, investment and insurance",No Details,No Details,No,No,No,No,No,No,No Details,Yes,Modified
8800,Landing page submission,Google,No,No,0,2.0,63,2.0,Form submitted on website,India,Marketing management,Unemployed,Better career prospects,No,No,No,No,No,No,Graduation in progress,No,Modified
8801,Landing page submission,Organic search,No,No,1,6.0,1713,6.0,Sms sent,Outside India,International business,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Sms sent
8802,Landing page submission,Google,Yes,No,0,4.0,447,4.0,Email bounced,India,It projects management,Unemployed,Better career prospects,No,No,No,No,No,No,Not doing further education,Yes,Modified
8803,Api,Olark chat,Yes,No,0,0.0,0,0.0,Sms sent,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
8804,Landing page submission,Google,No,No,0,8.0,1361,2.67,Sms sent,India,Marketing management,Unemployed,Better career prospects,No,No,No,No,No,No,Busy,Yes,Sms sent
8805,Landing page submission,Google,No,No,1,3.0,1516,3.0,Email opened,Outside India,International business,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
8806,Api,Google,No,No,0,2.0,239,1.0,Email opened,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Email opened
8807,Landing page submission,Direct traffic,No,No,0,3.0,325,3.0,Email opened,India,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Interested in other courses,Yes,Modified
8808,Api,Olark chat,No,No,0,0.0,0,0.0,Email link clicked,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Email link clicked
8809,Api,Google,No,No,0,3.0,312,1.0,Email opened,India,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Email opened
8810,Landing page submission,Google,No,No,0,5.0,1298,5.0,Email opened,India,E-business,Unemployed,Better career prospects,No,No,No,No,No,No,Interested  in full time mba,No,Email opened
8811,Landing page submission,Google,No,No,0,5.0,426,5.0,Sms sent,India,Human resource management,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
8812,Landing page submission,Google,No,No,0,2.0,1124,2.0,Sms sent,India,"Banking, investment and insurance",Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Sms sent
8813,Landing page submission,Direct traffic,No,No,1,2.0,69,2.0,Sms sent,India,Human resource management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Sms sent
8814,Landing page submission,Direct traffic,Yes,No,0,1.0,1465,1.0,Email bounced,Outside India,Travel and tourism,Unemployed,Better career prospects,No,No,No,No,No,No,Not doing further education,Yes,Modified
8815,Landing page submission,Google,No,No,0,3.0,663,3.0,Email opened,India,Marketing management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Email opened
8816,Landing page submission,Direct traffic,No,No,1,3.0,1372,3.0,Email opened,India,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Modified
8817,Landing page submission,Direct traffic,No,No,1,2.0,206,2.0,Sms sent,India,Operations management,No Details,No Details,No,No,No,No,No,No,Lost to eins,Yes,Modified
8818,Api,Google,No,No,1,3.0,1320,1.0,Olark chat conversation,India,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Olark chat conversation
8819,Landing page submission,Google,No,No,1,5.0,1464,5.0,Email opened,India,It projects management,Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Email opened
8820,Landing page submission,Organic search,Yes,No,0,7.0,176,7.0,Sms sent,India,It projects management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,Yes,Sms sent
8821,Landing page submission,Google,No,No,0,6.0,168,3.0,Email opened,India,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Interested  in full time mba,No,Email opened
8822,Api,Olark chat,No,No,0,0.0,0,0.0,Olark chat conversation,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Already a student,No,Modified
8823,Landing page submission,Direct traffic,No,No,1,4.0,1192,4.0,Email opened,India,Business administration,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Modified
8824,Landing page submission,Direct traffic,No,No,0,2.0,1094,2.0,Email opened,India,Human resource management,Unemployed,Better career prospects,No,No,No,No,No,No,Opp hangup,Yes,Email opened
8825,Api,Olark chat,No,No,0,0.0,0,0.0,Email opened,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Already a student,No,Email opened
8826,Landing page submission,Organic search,No,No,0,8.0,39,2.67,Page visited on website,India,E-business,Unemployed,Better career prospects,No,No,No,No,No,No,Not doing further education,Yes,Page visited on website
8827,Landing page submission,Organic search,No,No,0,23.0,194,11.5,Email opened,India,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,Yes,Email opened
8828,Landing page submission,Direct traffic,No,No,0,2.0,783,2.0,Email opened,India,Business administration,Unemployed,Better career prospects,No,No,No,No,No,No,Interested in other courses,Yes,Email opened
8829,Landing page submission,Direct traffic,No,No,0,1.0,49,1.0,Converted to lead,India,Marketing management,Student,Better career prospects,No,No,No,No,No,No,Already a student,Yes,Modified
8830,Landing page submission,Direct traffic,Yes,No,0,4.0,883,4.0,Email bounced,India,It projects management,No Details,No Details,No,No,No,No,No,No,No Details,Yes,Modified
8831,Landing page submission,Direct traffic,No,No,1,2.0,138,2.0,Unreachable,India,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Unreachable
8832,Landing page submission,Organic search,No,No,0,8.0,327,2.67,Sms sent,India,Travel and tourism,Unemployed,Better career prospects,No,No,No,No,No,No,Wrong number given,Yes,Sms sent
8833,Landing page submission,Google,No,No,0,5.0,46,5.0,Email opened,India,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Interested in other courses,No,Modified
8834,Api,Organic search,No,No,0,7.0,1055,7.0,Email opened,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Email opened
8835,Landing page submission,Direct traffic,No,No,0,3.0,271,3.0,Email opened,India,Hospitality management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,Yes,Email opened
8836,Api,Organic search,No,No,0,4.0,1645,4.0,Email opened,India,Supply chain management,Unemployed,Better career prospects,No,No,No,No,No,No,Interested in other courses,Yes,Modified
8837,Api,Olark chat,No,No,0,0.0,0,0.0,Email opened,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Email opened
8838,Landing page submission,Direct traffic,No,No,0,2.0,1740,2.0,Sms sent,India,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,Yes,Sms sent
8839,Landing page submission,Direct traffic,No,No,0,4.0,709,2.0,Form submitted on website,India,No Details,Businessman,No Details,No,No,No,No,No,No,No Details,No,Modified
8840,Api,Google,No,No,1,3.0,432,1.5,Sms sent,India,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
8841,Api,Organic search,No,No,1,5.0,726,5.0,Email opened,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Email opened
8842,Landing page submission,Direct traffic,Yes,No,0,1.0,155,1.0,Email bounced,Outside India,Travel and tourism,No Details,No Details,No,No,No,No,No,No,No Details,Yes,Modified
8843,Api,Organic search,No,No,0,3.0,1709,3.0,Sms sent,India,Human resource management,Unemployed,Better career prospects,No,No,No,No,No,No,In confusion whether part time or dlp,No,Modified
8844,Landing page submission,Direct traffic,Yes,No,1,1.0,869,1.0,Email bounced,India,Marketing management,Unemployed,Better career prospects,No,No,No,No,No,No,Switched off,Yes,Modified
8845,Landing page submission,Google,No,No,0,2.0,391,2.0,Converted to lead,India,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Graduation in progress,No,Modified
8846,Landing page submission,Direct traffic,No,No,0,2.0,660,2.0,Email opened,India,"Banking, investment and insurance",Student,Better career prospects,No,No,No,No,No,No,Already a student,Yes,Email opened
8847,Api,Olark chat,No,No,0,0.0,0,0.0,Olark chat conversation,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Modified
8848,Api,Organic search,No,No,0,11.0,496,3.67,Email opened,India,Healthcare management,Unemployed,Better career prospects,Yes,No,No,No,No,No,Ringing,No,Email opened
8849,Landing page submission,Direct traffic,No,No,0,9.0,83,3.0,Email opened,India,"Banking, investment and insurance",Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,Yes,Email opened
8850,Api,Google,No,No,1,5.0,952,5.0,Email opened,India,Marketing management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Email opened
8851,Landing page submission,Direct traffic,No,No,0,4.0,373,4.0,Had a phone conversation,India,Human resource management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Modified
8852,Api,Direct traffic,No,No,0,7.0,5,7.0,Email opened,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Email opened
8853,Api,Olark chat,No,No,0,0.0,0,0.0,Olark chat conversation,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Olark chat conversation
8854,Landing page submission,Google,No,No,1,5.0,68,2.5,Unreachable,India,Operations management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Modified
8855,Landing page submission,Direct traffic,No,No,1,1.0,1245,1.0,Converted to lead,India,Human resource management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Modified
8856,Api,Olark chat,No,No,0,0.0,0,0.0,Email opened,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Already a student,No,Email opened
8857,Landing page submission,Direct traffic,No,No,0,5.0,87,5.0,Email opened,India,Travel and tourism,Unemployed,Better career prospects,No,No,No,No,No,No,Switched off,Yes,Email opened
8858,Api,Google,No,No,0,2.0,121,2.0,Olark chat conversation,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Not doing further education,No,Modified
8859,Landing page submission,Google,No,No,1,5.0,1202,5.0,Sms sent,India,International business,No Details,No Details,No,No,No,No,No,No,No Details,No,Sms sent
8860,Api,Olark chat,No,No,0,0.0,0,0.0,Olark chat conversation,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Already a student,No,Olark chat conversation
8861,Api,Olark chat,No,No,0,0.0,0,0.0,Email opened,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Email opened
8862,Landing page submission,Direct traffic,No,No,1,5.0,1467,5.0,Sms sent,India,Supply chain management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Modified
8863,Landing page submission,Direct traffic,No,No,0,4.0,455,2.0,Sms sent,India,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,Yes,Sms sent
8864,Landing page submission,Direct traffic,No,No,1,3.0,278,1.5,Page visited on website,India,Marketing management,Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Modified
8865,Landing page submission,Google,No,No,1,4.0,1341,4.0,Sms sent,India,Business administration,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
8866,Api,Olark chat,No,No,0,0.0,0,0.0,Olark chat conversation,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Already a student,No,Modified
8867,Landing page submission,Google,No,No,1,4.0,1268,4.0,Email opened,India,Business administration,Working professional,Better career prospects,No,No,No,No,No,No,Lost to eins,No,Email opened
8868,Api,Olark chat,No,No,0,0.0,0,0.0,Olark chat conversation,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Modified
8869,Api,Google,No,No,0,2.0,124,1.0,Sms sent,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Sms sent
8870,Api,Olark chat,No,No,0,0.0,0,0.0,Olark chat conversation,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Already a student,No,Modified
8871,Landing page submission,Direct traffic,No,No,1,3.0,1513,3.0,Email opened,India,Operations management,Unemployed,Better career prospects,No,No,No,No,Yes,No,Will revert after reading the email,No,Modified
8872,Landing page submission,Direct traffic,No,No,0,5.0,93,5.0,Sms sent,India,Travel and tourism,Unemployed,Better career prospects,No,No,No,No,No,No,Interested  in full time mba,Yes,Modified
8873,Api,Google,No,No,1,2.0,1915,2.0,Olark chat conversation,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Lost to eins,No,Modified
8874,Api,Olark chat,No,No,1,0.0,0,0.0,Sms sent,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Lateral student,No,Modified
8875,Api,Google,No,No,0,3.0,6,1.5,Olark chat conversation,India,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
8876,Landing page submission,Direct traffic,No,No,0,4.0,482,4.0,Email opened,India,It projects management,No Details,No Details,No,No,No,No,No,No,No Details,Yes,Email opened
8877,Api,Olark chat,No,No,0,0.0,0,0.0,Email opened,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Email opened
8878,Landing page submission,Direct traffic,No,No,0,7.0,359,7.0,Sms sent,India,Supply chain management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,Yes,Sms sent
8879,Landing page submission,Google,No,No,0,2.0,723,2.0,Sms sent,India,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Sms sent
8880,Landing page submission,Google,No,No,1,2.0,1130,2.0,Had a phone conversation,India,E-business,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Had a phone conversation
8881,Landing page submission,Direct traffic,Yes,No,0,2.0,34,2.0,Page visited on website,India,Media and advertising,Unemployed,Better career prospects,No,No,No,No,No,No,Interested in other courses,Yes,Modified
8882,Api,Organic search,No,No,0,6.0,309,3.0,Email opened,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Interested  in full time mba,No,Email opened
8883,Api,Olark chat,No,No,0,0.0,0,0.0,Email link clicked,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Interested in other courses,No,Email link clicked
8884,Api,Google,No,No,0,2.0,951,2.0,Email opened,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Interested in other courses,No,Modified
8885,Landing page submission,Google,No,No,1,4.0,1340,2.0,Email link clicked,India,Human resource management,Unemployed,Better career prospects,No,No,No,No,No,No,Interested in other courses,No,Modified
8886,Api,Google,No,No,1,2.0,1298,1.0,Sms sent,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Modified
8887,Api,Direct traffic,No,No,0,2.0,230,2.0,Sms sent,India,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Sms sent
8888,Landing page submission,Direct traffic,No,No,1,2.0,1370,2.0,Sms sent,India,Marketing management,Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Sms sent
8889,Landing page submission,Direct traffic,No,No,1,2.0,834,2.0,Sms sent,India,Supply chain management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Modified
8890,Landing page submission,Direct traffic,No,No,0,2.0,1235,2.0,Sms sent,India,It projects management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,Yes,Modified
8891,Lead add form,Reference,No,No,1,0.0,0,0.0,Email opened,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Closed by horizzon,No,Modified
8892,Api,Olark chat,No,No,0,0.0,0,0.0,Olark chat conversation,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Already a student,No,Modified
8893,Landing page submission,Direct traffic,No,No,0,4.0,79,4.0,Olark chat conversation,India,Hospitality management,Unemployed,Better career prospects,No,No,No,No,No,No,Interested in other courses,Yes,Modified
8894,Api,Olark chat,No,No,0,0.0,0,0.0,Email opened,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Already a student,No,Modified
8895,Api,Olark chat,No,No,1,0.0,0,0.0,Sms sent,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
8896,Api,Olark chat,No,No,0,0.0,0,0.0,Olark chat conversation,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Olark chat conversation
8897,Api,Olark chat,No,No,1,0.0,0,0.0,Sms sent,No Details,"Banking, investment and insurance",Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
8898,Api,Olark chat,No,No,0,0.0,0,0.0,Olark chat conversation,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Already a student,No,Modified
8899,Api,Organic search,No,No,1,4.0,715,2.0,Sms sent,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
8900,Landing page submission,Organic search,No,No,0,4.0,95,4.0,Sms sent,India,Human resource management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,Yes,Sms sent
8901,Landing page submission,Direct traffic,No,No,0,2.0,1736,2.0,Email link clicked,India,Marketing management,Working professional,Better career prospects,No,No,No,No,No,No,Interested in other courses,Yes,Modified
8902,Lead add form,Reference,No,No,1,1.0,78,1.0,Email opened,Outside India,Finance management,Housewife,Better career prospects,No,No,No,No,No,No,Closed by horizzon,Yes,Modified
8903,Landing page submission,Direct traffic,Yes,No,0,9.0,17,9.0,Sms sent,India,"Banking, investment and insurance",Unemployed,Better career prospects,No,No,No,No,No,No,Wrong number given,Yes,Sms sent
8904,Landing page submission,Organic search,No,No,1,4.0,653,2.0,Sms sent,India,Marketing management,Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
8905,Api,Olark chat,No,No,0,0.0,0,0.0,Email opened,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Already a student,No,Email opened
8906,Landing page submission,Direct traffic,No,No,1,6.0,1494,1.5,Form submitted on website,India,Retail management,Unemployed,Better career prospects,No,No,No,No,No,No,Lost to eins,Yes,Modified
8907,Api,Olark chat,No,No,1,0.0,0,0.0,Email opened,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Email opened
8908,Api,Olark chat,No,No,0,0.0,0,0.0,Email opened,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Already a student,No,Email opened
8909,Api,Olark chat,No,No,1,0.0,0,0.0,Email opened,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Email opened
8910,Landing page submission,Direct traffic,Yes,No,0,6.0,139,6.0,Unsubscribed,India,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,Yes,Modified
8911,Api,Olark chat,No,No,1,0.0,0,0.0,Sms sent,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
8912,Api,Olark chat,No,No,0,0.0,0,0.0,Olark chat conversation,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
8913,Api,Olark chat,No,No,0,0.0,0,0.0,Email link clicked,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Interested in other courses,No,Email link clicked
8914,Landing page submission,Direct traffic,No,No,0,2.0,2,2.0,Email opened,India,It projects management,Unemployed,Better career prospects,No,No,No,No,No,No,Already a student,Yes,Email opened
8915,Landing page submission,Direct traffic,No,No,1,5.0,662,2.5,Sms sent,India,"Banking, investment and insurance",No Details,No Details,No,No,No,No,No,No,No Details,Yes,Sms sent
8916,Landing page submission,Direct traffic,No,No,0,9.0,272,9.0,Sms sent,India,Operations management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,Yes,Sms sent
8917,Api,Olark chat,No,No,0,0.0,0,0.0,Olark chat conversation,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
8918,Landing page submission,Direct traffic,No,No,0,6.0,503,6.0,Sms sent,India,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,Yes,Sms sent
8919,Api,Google,No,No,0,2.0,350,1.0,Olark chat conversation,Outside India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Already a student,No,Modified
8920,Landing page submission,Direct traffic,No,No,1,5.0,808,5.0,Email opened,India,It projects management,Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Email opened
8921,Api,Google,No,No,0,2.0,1385,2.0,Sms sent,India,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Sms sent
8922,Api,Google,No,No,0,8.0,393,2.0,Olark chat conversation,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Already a student,No,Modified
8923,Api,Olark chat,No,No,1,0.0,0,0.0,Sms sent,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Sms sent
8924,Landing page submission,Direct traffic,No,No,0,1.0,421,1.0,Converted to lead,India,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Interested in other courses,Yes,Modified
8925,Landing page submission,Direct traffic,No,No,0,6.0,44,3.0,Sms sent,India,Media and advertising,Unemployed,Better career prospects,No,No,No,No,No,No,Invalid number,No,Sms sent
8926,Api,Google,No,No,0,1.0,14,1.0,Converted to lead,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Graduation in progress,No,Modified
8927,Landing page submission,Google,No,No,0,2.0,870,2.0,Sms sent,India,Media and advertising,Unemployed,Better career prospects,No,No,No,No,No,No,Busy,No,Sms sent
8928,Api,Direct traffic,No,No,1,8.0,1456,2.67,Sms sent,India,Healthcare management,Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
8929,Api,Olark chat,No,No,0,0.0,0,0.0,Email opened,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Interested in other courses,No,Modified
